,Composition,Formula,e_above_hull,A_atom,P_atom,R_atom,n_A
146,K2 In4 Fe4 C24 N24,K2 In4 Fe4 C24 N24,0.11553698000000001,K,In,Fe,2.0
147,Li2 In4 Os4 C24 N24,Li2 In4 Os4 C24 N24,0.0028601699999999397,Li,In,Os,2.0
148,Mg2 Co4 Os4 C24 N24,Mg2 Co4 Os4 C24 N24,0.03918191000000015,Mg,Co,Os,2.0
149,Mg2 V4 Cr4 C24 N24,Mg2 V4 Cr4 C24 N24,0.03918191000000015,Mg,Cr,V,2.0
150,Mg2 V4 Cr4 C24 N24,Mg2 V4 Cr4 C24 N24,0.03918191000000015,Mg,V,Cr,2.0
151,Na2 V4 Fe4 C24 N24,Na2 V4 Fe4 C24 N24,0.12850119249999992,Na,Fe,V,2.0
152,K2 Mn4 Zn4 C24 N24,K2 Mn4 Zn4 C24 N24,0.11553698000000001,K,Zn,Mn,2.0
153,Ca2 Cr4 Co4 C24 N24,Ca2 Cr4 Co4 C24 N24,0.4185173499999999,Ca,Co,Cr,2.0
154,Sr2 V4 Cr4 C24 N24,Sr2 V4 Cr4 C24 N24,0.005491380000000046,Sr,Cr,V,2.0
155,Sr2 Mn4 Cr4 C24 N24,Sr2 Mn4 Cr4 C24 N24,0.005491380000000046,Sr,Mn,Cr,2.0
156,,,,,,,
157,,,,,,,
158,Na2 Cr4 In4 C24 N24,Na2 Cr4 In4 C24 N24,0.12850119249999992,Na,In,Cr,2.0
159,,,,,,,
160,Li2 Fe4 Co4 C24 N24,Li2 Fe4 Co4 C24 N24,0.0028601699999999397,Li,Fe,Co,2.0
161,K2 V4 In4 C24 N24,K2 V4 In4 C24 N24,0.11553698000000001,K,In,V,2.0
162,K2 In4 Os4 C24 N24,K2 In4 Os4 C24 N24,0.11553698000000001,K,In,Os,2.0
163,,,,,,,
164,K2 V4 Cr4 C24 N24,K2 V4 Cr4 C24 N24,0.11553698000000001,K,Cr,V,2.0
165,Na2 V4 Co4 C24 N24,Na2 V4 Co4 C24 N24,0.12850119249999992,Na,Co,V,2.0
166,K2 Co4 Ni4 C24 N24,K2 Co4 Ni4 C24 N24,0.11553698000000001,K,Ni,Co,2.0
167,Sr2 Mn4 Cr4 C24 N24,Sr2 Mn4 Cr4 C24 N24,0.005491380000000046,Sr,Cr,Mn,2.0
168,,,,,,,
169,Li2 Cr8 C24 N24,Li2 Cr8 C24 N24,0.0028601699999999397,Li,Cr,Cr,2.0
170,K2 Fe8 C24 N24,K2 Fe8 C24 N24,0.11553698000000001,K,Fe,Fe,2.0
171,K2 Mn4 Fe4 C24 N24,K2 Mn4 Fe4 C24 N24,0.11553698000000001,K,Mn,Fe,2.0
172,K2 Co4 Os4 C24 N24,K2 Co4 Os4 C24 N24,0.11553698000000001,K,Co,Os,2.0
173,,,,,,,
174,Li2 Mn4 Co4 C24 N24,Li2 Mn4 Co4 C24 N24,0.0028601699999999397,Li,Mn,Co,2.0
175,Li2 Mn4 Fe4 C24 N24,Li2 Mn4 Fe4 C24 N24,0.0028601699999999397,Li,Mn,Fe,2.0
176,Sr2 V4 Co4 C24 N24,Sr2 V4 Co4 C24 N24,0.005491380000000046,Sr,Co,V,2.0
177,Ca2 Cr4 Fe4 C24 N24,Ca2 Cr4 Fe4 C24 N24,0.4185173499999999,Ca,Cr,Fe,2.0
178,Na2 Cr4 Ni4 C24 N24,Na2 Cr4 Ni4 C24 N24,0.12850119249999992,Na,Ni,Cr,2.0
179,Mg2 Mn4 V4 C24 N24,Mg2 Mn4 V4 C24 N24,0.03918191000000015,Mg,V,Mn,2.0
180,Li2 Cr4 Os4 C24 N24,Li2 Cr4 Os4 C24 N24,0.0028601699999999397,Li,Cr,Os,2.0
181,K2 Mn4 Os4 C24 N24,K2 Mn4 Os4 C24 N24,0.08253015675310493,K,Mn,Os,2.0
182,Ca2 V4 Cr4 C24 N24,Ca2 V4 Cr4 C24 N24,0.39942474304206854,Ca,Cr,V,2.0
